75000;75200;75400;75600;75800;76000;76200;76400;76600;76800;77000;77200
75800;76000;76200;76400;76600;76800;77000;77200;77400;77600;77800;78000
76600;76800;77000;77200;77400;77600;77800;78000;78200;78400;78600;78800
77400;77600;77800;78000;78200;78400;78600;78800;79000;79200;79400;79600
78200;78400;78600;78800;79000;79200;79400;79600;79800;80000;80200;80400
79000;79200;79400;79600;79800;80000;80200;80400;80600;80800;81000;81200
79800;80000;80200;80400;80600;80800;81000;81200;81400;81600;81800;82000
80600;80800;81000;81200;81400;81600;81800;82000;82200;82400;82600;82800
81400;81600;81800;82000;82200;82400;82600;82800;83000;83200;83400;83600
82200;82400;82600;82800;83000;83200;83400;83600;83800;84000;84200;84400
