55000;55200;55400;55600;55800;56000;56200;56400;56600;56800;57000;57200
55800;56000;56200;56400;56600;56800;57000;57200;57400;57600;57800;58000
56600;56800;57000;57200;57400;57600;57800;58000;58200;58400;58600;58800
57400;57600;57800;58000;58200;58400;58600;58800;59000;59200;59400;59600
58200;58400;58600;58800;59000;59200;59400;59600;59800;60000;60200;60400
59000;59200;59400;59600;59800;60000;60200;60400;60600;60800;61000;61200
59800;60000;60200;60400;60600;60800;61000;61200;61400;61600;61800;62000
60600;60800;61000;61200;61400;61600;61800;62000;62200;62400;62600;62800
61400;61600;61800;62000;62200;62400;62600;62800;63000;63200;63400;63600
62200;62400;62600;62800;63000;63200;63400;63600;63800;64000;64200;64400
