70000;70200;70400;70600;70800;71000;71200;71400;71600;71800;72000;72200
70800;71000;71200;71400;71600;71800;72000;72200;72400;72600;72800;73000
71600;71800;72000;72200;72400;72600;72800;73000;73200;73400;73600;73800
72400;72600;72800;73000;73200;73400;73600;73800;74000;74200;74400;74600
73200;73400;73600;73800;74000;74200;74400;74600;74800;75000;75200;75400
74000;74200;74400;74600;74800;75000;75200;75400;75600;75800;76000;76200
74800;75000;75200;75400;75600;75800;76000;76200;76400;76600;76800;77000
75600;75800;76000;76200;76400;76600;76800;77000;77200;77400;77600;77800
76400;76600;76800;77000;77200;77400;77600;77800;78000;78200;78400;78600
77200;77400;77600;77800;78000;78200;78400;78600;78800;79000;79200;79400
