30000;30200;30400;30600;30800;31000;31200;31400;31600;31800;32000;32200
30800;31000;31200;31400;31600;31800;32000;32200;32400;32600;32800;33000
31600;31800;32000;32200;32400;32600;32800;33000;33200;33400;33600;33800
32400;32600;32800;33000;33200;33400;33600;33800;34000;34200;34400;34600
33200;33400;33600;33800;34000;34200;34400;34600;34800;35000;35200;35400
34000;34200;34400;34600;34800;35000;35200;35400;35600;35800;36000;36200
34800;35000;35200;35400;35600;35800;36000;36200;36400;36600;36800;37000
35600;35800;36000;36200;36400;36600;36800;37000;37200;37400;37600;37800
36400;36600;36800;37000;37200;37400;37600;37800;38000;38200;38400;38600
37200;37400;37600;37800;38000;38200;38400;38600;38800;39000;39200;39400
