35000;35200;35400;35600;35800;36000;36200;36400;36600;36800;37000;37200
35800;36000;36200;36400;36600;36800;37000;37200;37400;37600;37800;38000
36600;36800;37000;37200;37400;37600;37800;38000;38200;38400;38600;38800
37400;37600;37800;38000;38200;38400;38600;38800;39000;39200;39400;39600
38200;38400;38600;38800;39000;39200;39400;39600;39800;40000;40200;40400
39000;39200;39400;39600;39800;40000;40200;40400;40600;40800;41000;41200
39800;40000;40200;40400;40600;40800;41000;41200;41400;41600;41800;42000
40600;40800;41000;41200;41400;41600;41800;42000;42200;42400;42600;42800
41400;41600;41800;42000;42200;42400;42600;42800;43000;43200;43400;43600
42200;42400;42600;42800;43000;43200;43400;43600;43800;44000;44200;44400
